,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
8,La Difícil,YHLQMDLG,Bad Bunny,2020-02-28,163084,85,0.685,0.0861,0.685,0.848,7.14e-06,0.0783,-4.561,0.0858,179.87,4,Hip-Hop,Spanish,2020
9,TKN (feat. Travis Scott),TKN (feat. Travis Scott),ROSALÍA,2020-05-28,129370,92,0.776,0.192,0.776,0.509,1.49e-06,0.115,-6.266,0.467,94.634,4,Hip-Hop,Spanish,2020
10,PORFA - Remix,PORFA (Remix),Various Artists,2020-06-26,333400,78,0.792,0.0939,0.792,0.736,1.06e-06,0.075,-4.764,0.0815,167.915,4,Hip-Hop,Spanish,2020
11,Fútbol & Rumba (feat. Enrique Iglesias),Emmanuel,Anuel AA,2020-05-29,221428,82,0.735,0.397,0.735,0.916,2.91e-06,0.0918,-2.082,0.117,167.994,4,Hip-Hop,Spanish,2020
12,Sudamericana (feat. Pachanga),Sudamericana,Andra,2018-06-08,195742,53,0.596,0.18,0.596,0.765,0.0,0.0822,-5.691,0.215,181.991,4,Hip-Hop,Spanish,2018
13,ADMV,ADMV,Maluma,2020-04-23,193699,84,0.565,0.817,0.565,0.39,0.0,0.126,-4.959,0.0556,163.781,4,Hip-Hop,Spanish,2020
14,"Ay, DiOs Mío!","Ay, DiOs Mío!",KAROL G,2020-07-10,189653,89,0.718,0.512,0.718,0.712,0.00121,0.104,-4.366,0.174,180.034,4,Hip-Hop,Spanish,2020
15,Carita de Inocente (feat. Myke Towers) - Remix,Carita de Inocente (feat. Myke Towers) [Remix],Prince Royce,2020-06-01,192698,83,0.565,0.364,0.565,0.781,0.0,0.0984,-3.358,0.061,129.959,4,Hip-Hop,Spanish,2020
16,PAM,PAM,Justin Quiles,2020-05-01,201000,86,0.889,0.289,0.889,0.863,0.000603,0.0798,-3.011,0.0757,112.953,4,Hip-Hop,Spanish,2020
17,Rojo,Rojo,J Balvin,2020-02-27,150853,84,0.652,0.15,0.652,0.595,0.000115,0.0842,-4.04,0.113,172.27,4,Hip-Hop,Spanish,2020
18,CÓMO SE SIENTE - Remix,Música para Trapear,Various Artists,2020-05-29,227520,38,0.807,0.0946,0.807,0.606,0.0,0.119,-8.871,0.088,92.988,4,Hip-Hop,Spanish,2020
19,La Tóxica,La Tóxica,Farruko,2020-07-24,180520,77,0.659,0.0882,0.659,0.701,0.0,0.0866,-4.107,0.164,91.97,4,Hip-Hop,Spanish,2020
20,La Curiosidad,Platonicos,Jay Wheeler,2020-06-12,219048,92,0.845,0.269,0.845,0.677,0.000917,0.108,-4.798,0.136,90.013,4,Hip-Hop,Spanish,2020
21,Bésame,Bésame,Play-N-Skillz,2020-06-19,212840,77,0.67,0.0164,0.67,0.865,7.4e-06,0.12,-2.469,0.035,97.008,4,Hip-Hop,Spanish,2020
22,Si Me Dices Que Sí,Si Me Dices Que Sí,Reik,2020-02-18,211651,83,0.578,0.00473,0.578,0.634,0.0,0.132,-5.979,0.333,183.89,4,Hip-Hop,Spanish,2020
23,Sigues Con El - Remix,Sigues Con El (Remix),Arcangel,2020-04-10,189566,83,0.747,0.102,0.747,0.693,2.61e-06,0.0872,-2.97,0.298,175.994,4,Hip-Hop,Spanish,2020
24,Favorito,Favorito,Camilo,2020-03-26,211613,85,0.611,0.229,0.611,0.851,0.0,0.232,-2.982,0.0598,178.032,4,Hip-Hop,Spanish,2020
25,Muévelo,Muévelo,Nicky Jam,2020-01-08,194892,82,0.595,0.416,0.595,0.807,1.41e-05,0.565,-2.409,0.0489,188.081,4,Hip-Hop,Spanish,2020
26,YAYA,YAYA,6ix9ine,2020-07-03,149857,81,0.672,0.00289,0.672,0.733,0.0,0.199,-5.377,0.0566,105.043,4,Hip-Hop,Spanish,2020
27,Keii,Keii,Anuel AA,2020-02-07,210000,78,0.708,0.4,0.708,0.797,0.0,0.096,-3.095,0.0391,88.015,4,Hip-Hop,Spanish,2020
