,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
73,New Choppa,Playboi Carti,Playboi Carti,2017-04-14,126043,0,0.78,0.152,0.78,0.611,0.0,0.398,-4.313,0.0507,128.067,4
74,Stir Fry,Stir Fry,Migos,2017-12-20,192131,0,0.813,0.00693,0.813,0.808,0.0,0.133,-5.541,0.286,181.993,4
75,Up,NAV,NAV,2017-02-24,199520,0,0.655,0.0368,0.655,0.49,0.0,0.105,-6.8,0.13,154.283,4
76,Myself,NAV,NAV,2017-02-24,226040,0,0.504,0.667,0.504,0.393,0.0,0.115,-7.61,0.324,79.989,4
77,Saved (feat. E-40),Free TC,Ty Dolla $ign,2015-11-13,178506,60,0.77,0.265,0.77,0.69,0.0,0.128,-5.565,0.136,103.035,4
78,Saint,"Huncho Jack, Jack Huncho",Huncho Jack,2017-12-21,140792,66,0.866,0.009,0.866,0.648,0.0,0.0967,-3.675,0.0543,150.058,4
79,Beef (feat. Meek Mill),Beef (feat. Meek Mill),Tee Grizzley,2017-08-31,232421,55,0.751,0.233,0.751,0.752,0.0,0.331,-4.85,0.277,95.025,4
80,No Effort,My Moment,Tee Grizzley,2017-04-07,193019,59,0.895,0.565,0.895,0.698,0.0,0.305,-6.575,0.207,99.998,4
81,Back On,Mr. Davis,Gucci Mane,2017-10-13,181533,44,0.828,0.0087,0.828,0.639,4.1e-06,0.0656,-5.411,0.163,156.055,4
82,"Go Off (with Lil Uzi Vert, Quavo & Travis Scott)",Go Off,Lil Uzi Vert,2017-03-02,217561,59,0.733,0.0256,0.733,0.777,0.0,0.239,-2.83,0.0791,88.494,4
83,Huncho Jack,"Huncho Jack, Jack Huncho",Huncho Jack,2017-12-21,199227,0,0.797,0.0085,0.797,0.571,0.0,0.172,-3.51,0.0478,136.995,4
