,Unnamed: 0,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
120,20,Salaam Namaste,Salaam Namaste (Original),Vishal-Shekhar,2005-08-03,276166,44,0.69,0.217,0.69,0.868,0.0,0.325,-6.472,0.0889,96.99,4,Throwback,Hindi,2005
121,21,My Dil Goes Mmmm,Salaam Namaste (Original),Vishal-Shekhar,2005-08-03,452832,47,0.693,0.34299999999999997,0.693,0.797,0.00125,0.0673,-7.392,0.0704,90.99700000000001,4,Throwback,Hindi,2005
122,22,Whats Goin' On,Salaam Namaste (Original),Vishal-Shekhar,2005-08-03,280398,32,0.833,0.106,0.833,0.7140000000000001,2.36e-05,0.315,-6.972,0.0597,105.01700000000001,4,Throwback,Hindi,2005
123,23,Tu Jahaan,Salaam Namaste (Original),Vishal-Shekhar,2005-08-03,315768,35,0.612,0.503,0.612,0.617,0.00513,0.0851,-8.962,0.049,77.967,4,Throwback,Hindi,2005
124,24,Salaam Namaste (Dhol Mix),Salaam Namaste (Original),Vishal-Shekhar,2005-08-03,233534,22,0.7609999999999999,0.226,0.7609999999999999,0.879,0.00455,0.359,-6.2410000000000005,0.0631,108.007,4,Throwback,Hindi,2005
125,25,Ladki Kyon,Hum Tum (Original),Jatin-Lalit,2004-04-09,378044,42,0.76,0.639,0.76,0.83,0.0,0.109,-6.867999999999999,0.28,93.40100000000001,4,Throwback,Hindi,2004
126,26,Hum Tum,Hum Tum (Original),Jatin-Lalit,2004-04-09,329221,50,0.465,0.381,0.465,0.682,0.00041,0.0801,-8.124,0.0512,164.01,4,Throwback,Hindi,2004
127,27,Gore Gore,Hum Tum (Original),Jatin-Lalit,2004-04-09,296359,32,0.762,0.153,0.762,0.878,2.35e-05,0.071,-4.999,0.083,100.99799999999999,4,Throwback,Hindi,2004
128,28,Hum Tum (Instrumental),Hum Tum (Original),Jatin-Lalit,2004-04-09,204747,28,0.626,0.0903,0.626,0.568,0.654,0.188,-8.283999999999999,0.0332,81.96700000000001,4,Throwback,Hindi,2004
129,29,U-N-I (Mere Dil Vich Hai Hum Tum),Hum Tum (Original),Jatin-Lalit,2004-04-09,217547,37,0.799,0.0195,0.799,0.8440000000000001,0.0018,0.26,-6.341,0.0578,102.971,4,Throwback,Hindi,2004
130,30,Na Tum Jano Na Hum,Kaho Naa Pyaar Hai (Original Motion Picture Soundtrack),Rajesh Roshan,1999-12-01,383213,0,0.515,0.32299999999999995,0.515,0.519,0.000657,0.0566,-11.197000000000001,0.0397,89.499,4,Throwback,Hindi,1999
131,31,"Desi Girl (From ""Dostana"")",Best of Me Vishal Shekhar,Vishal-Shekhar,2013-04-22,306986,48,0.746,0.0169,0.746,0.924,0.00279,0.09699999999999999,-6.057,0.0442,136.05100000000002,4,Throwback,Hindi,2013
132,32,Senorita,Zindagi Na Milegi Dobara,Shankar-Ehsaan-Loy,2011-06-06,229575,54,0.701,0.134,0.701,0.6809999999999999,0.0,0.064,-6.442,0.0466,122.539,4,Throwback,Hindi,2011
133,33,Tere Naina,My Name Is Khan (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2010-01-05,278546,50,0.551,0.5579999999999999,0.551,0.74,0.0,0.14400000000000002,-7.019,0.0452,92.76100000000001,4,Throwback,Hindi,2010
134,34,Ik Junoon (Remix By Dj Shiva),Zindagi Na Milegi Dobara,Shankar-Ehsaan-Loy,2011-06-06,242300,38,0.777,0.14,0.777,0.652,0.000878,0.105,-8.273,0.0449,129.97799999999998,4,Throwback,Hindi,2011
135,35,Dil Dhadakne Do,Zindagi Na Milegi Dobara,Shankar-Ehsaan-Loy,2011-06-06,230318,53,0.778,0.0705,0.778,0.599,0.0,0.59,-4.758,0.032,116.95100000000001,4,Throwback,Hindi,2011
136,36,Ik Junoon (Paint It Red),Zindagi Na Milegi Dobara,Shankar-Ehsaan-Loy,2011-06-06,299119,52,0.79,0.364,0.79,0.848,0.00147,0.14800000000000002,-7.797999999999999,0.0508,127.03399999999999,4,Throwback,Hindi,2011
137,37,Khaabon Ke Parinday,Zindagi Na Milegi Dobara,Shankar-Ehsaan-Loy,2011-06-06,251704,56,0.517,0.721,0.517,0.565,0.00689,0.0997,-10.184,0.0441,169.952,4,Throwback,Hindi,2011
138,38,Der Lagi Lekin,Zindagi Na Milegi Dobara,Shankar-Ehsaan-Loy,2011-06-06,355915,49,0.637,0.0483,0.637,0.675,0.0026100000000000003,0.125,-7.817,0.0296,110.946,4,Throwback,Hindi,2011
139,39,Sooraj Ki Baahon Mein,Zindagi Na Milegi Dobara,Shankar-Ehsaan-Loy,2011-06-06,202919,55,0.855,0.19,0.855,0.5529999999999999,5.19e-06,0.0942,-6.52,0.0331,124.92200000000001,4,Throwback,Hindi,2011
140,40,Phir Bhi Yeh Zindagi,Dil Dhadakne Do,Shankar-Ehsaan-Loy,2015-05-02,267591,32,0.518,0.13699999999999998,0.518,0.785,0.0,0.0677,-5.058,0.0544,158.055,4,Throwback,Hindi,2015
141,41,Aaj Kal Zindagi,Wake Up Sid (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2009-08-21,254506,46,0.639,0.21,0.639,0.617,0.00558,0.099,-8.897,0.0329,134.95,4,Throwback,Hindi,2009
142,42,Tu Hi Hai,Dear Zindagi (Original Motion Picture Soundtrack),Amit Trivedi,2016-11-15,199643,52,0.7070000000000001,0.387,0.7070000000000001,0.501,1.81e-06,0.095,-7.388999999999999,0.0372,93.978,4,Throwback,Hindi,2016
143,43,Taarefon Se,Dear Zindagi (Original Motion Picture Soundtrack),Amit Trivedi,2016-11-15,278238,49,0.605,0.76,0.605,0.43700000000000006,0.00112,0.111,-9.023,0.0293,125.906,4,Throwback,Hindi,2016
144,44,Yeh Ladka Hai Allah,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),Jatin-Lalit,2001-11-28,327226,54,0.6459999999999999,0.419,0.6459999999999999,0.9079999999999999,1.57e-06,0.381,-4.68,0.0988,104.238,4,Throwback,Hindi,2001
145,45,Deewana Hai Dekho,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),Jatin-Lalit,2001-11-28,345266,46,0.7759999999999999,0.16699999999999998,0.7759999999999999,0.792,1.96e-06,0.13,-5.619,0.18,102.988,4,Throwback,Hindi,2001
146,46,You Are My Soniya,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),Jatin-Lalit,2001-11-28,343613,50,0.853,0.29,0.853,0.785,0.0,0.0589,-6.08,0.0619,106.046,4,Throwback,Hindi,2001
147,47,Mitwa,Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2006-06-08,382973,58,0.63,0.295,0.63,0.63,1.26e-05,0.0934,-7.525,0.0364,107.103,4,Throwback,Hindi,2006
148,48,Kajra Re,Bunty Aur Babli (Original),Shankar-Ehsaan-Loy,2005-04-15,482586,50,0.484,0.365,0.484,0.898,0.0,0.091,-4.132,0.16399999999999998,91.975,4,Throwback,Hindi,2005
149,49,Kabhi Kabhi Aditi,Jaane Tu... Ya Jaane Na,A.R. Rahman,2008-05-21,218836,59,0.7909999999999999,0.276,0.7909999999999999,0.5579999999999999,0.0,0.0859,-7.155,0.0661,95.07700000000001,4,Throwback,Hindi,2008
150,50,Kahin To,Jaane Tu... Ya Jaane Na,A.R. Rahman,2008-05-21,303206,56,0.61,0.33399999999999996,0.61,0.49200000000000005,6.3e-06,0.0979,-7.55,0.0261,90.984,4,Throwback,Hindi,2008
151,51,Pappu Can't Dance,Jaane Tu... Ya Jaane Na,A.R. Rahman,2008-05-21,264986,46,0.6679999999999999,0.00335,0.6679999999999999,0.746,0.00031,0.0773,-7.5920000000000005,0.0603,119.696,4,Throwback,Hindi,2008
152,52,Nazrein Milaana Nazrein Churaana,Jaane Tu... Ya Jaane Na,A.R. Rahman,2008-05-21,234858,43,0.7509999999999999,0.10300000000000001,0.7509999999999999,0.54,0.00022400000000000002,0.102,-7.942,0.0753,110.015,4,Throwback,Hindi,2008
153,53,Khuda Jaane,Bachna Ae Haseeno (Original),Vishal-Shekhar,2008-07-05,333583,60,0.382,0.391,0.382,0.632,0.00048600000000000005,0.0922,-6.393,0.0411,78.936,4,Throwback,Hindi,2008
154,54,Lucky Boy,Bachna Ae Haseeno (Original),Vishal-Shekhar,2008-07-05,253753,38,0.802,0.0975,0.802,0.8240000000000001,0.382,0.293,-6.081,0.0309,114.98200000000001,4,Throwback,Hindi,2008
155,55,Aahista Aahista,Bachna Ae Haseeno (Original),Vishal-Shekhar,2008-07-05,291604,46,0.68,0.187,0.68,0.818,0.419,0.289,-9.144,0.0382,125.995,4,Throwback,Hindi,2008
156,56,Khuda Jaane Revisited - Remixed By: Abhijit Nalani,Bachna Ae Haseeno (Original),Vishal-Shekhar,2008-07-05,281991,24,0.637,0.000321,0.637,0.9690000000000001,0.8220000000000001,0.33399999999999996,-5.205,0.0335,139.97299999999998,4,Throwback,Hindi,2008
157,57,Jaane Kyun,Dostana (Original Motion Picture Soundtrack),Vishal-Shekhar,2008-10-08,277986,50,0.778,0.0573,0.778,0.812,8.28e-06,0.243,-8.561,0.046,99.962,4,Throwback,Hindi,2008
158,58,Desi Girl,Dostana (Original Motion Picture Soundtrack),Vishal-Shekhar,2008-10-08,306986,52,0.746,0.0169,0.746,0.924,0.00279,0.09699999999999999,-6.057,0.0442,136.05100000000002,4,Throwback,Hindi,2008
159,59,Maa Da Laadla,Dostana (Original Motion Picture Soundtrack),Vishal-Shekhar,2008-10-08,245186,38,0.787,0.00771,0.787,0.9329999999999999,0.214,0.11599999999999999,-5.712000000000001,0.0559,113.97399999999999,4,Throwback,Hindi,2008
160,60,Shut Up & Bounce,Dostana (Original Motion Picture Soundtrack),Vishal-Shekhar,2008-10-08,277493,42,0.578,0.0026899999999999997,0.578,0.857,0.263,0.141,-7.272,0.0648,121.98100000000001,4,Throwback,Hindi,2008
161,61,Khabar Nahi,Dostana (Original Motion Picture Soundtrack),Vishal-Shekhar,2008-10-08,259120,45,0.623,0.153,0.623,0.758,0.0,0.0622,-6.641,0.109,90.948,4,Throwback,Hindi,2008
162,62,Kuch Kam,Dostana (Original Motion Picture Soundtrack),Vishal-Shekhar,2008-10-08,341013,41,0.6920000000000001,0.575,0.6920000000000001,0.48,0.0028699999999999997,0.13699999999999998,-9.919,0.0397,144.003,4,Throwback,Hindi,2008
163,63,Kuch Kuch Hota Hai,Kuch Kuch Hota Hai,Jatin-Lalit,1998-08-13,297866,57,0.547,0.602,0.547,0.5539999999999999,0.000155,0.0735,-11.165,0.0374,91.38600000000001,4,Throwback,Hindi,1998
164,64,Jab Se Tere Naina,Saawariya (Original Motion Picture Soundtrack),Monty Sharma,2007-09-14,284573,56,0.599,0.36200000000000004,0.599,0.653,0.0,0.14400000000000002,-7.5760000000000005,0.122,79.968,4,Throwback,Hindi,2007
165,65,"Tum Hi Ho Bandhu (From ""Cocktail"")",Cocktail,Pritam,2012-06-12,282012,52,0.7140000000000001,0.00145,0.7140000000000001,0.892,0.000817,0.0462,-5.3420000000000005,0.0516,134.997,4,Throwback,Hindi,2012
166,66,Crazy Kiya Re,Dhoom:2 (Original),Pritam,2006-10-19,294504,48,0.759,0.14300000000000002,0.759,0.938,3.97e-06,0.402,-5.3870000000000005,0.12300000000000001,92.01700000000001,4,Throwback,Hindi,2006
167,67,Yeh Ladka Hai Deewana,Kuch Kuch Hota Hai,Jatin-Lalit,1998-08-13,397533,47,0.516,0.289,0.516,0.757,7.21e-06,0.36700000000000005,-9.404,0.0551,124.061,4,Throwback,Hindi,1998
168,68,Jab Mila Tu,I Hate Luv Storys (Original Motion Picture Soundtrack),Vishal-Shekhar,2010-05-25,251853,45,0.626,0.0482,0.626,0.561,0.0,0.304,-6.644,0.0304,167.916,4,Throwback,Hindi,2010
169,69,Bin Tere,I Hate Luv Storys (Original Motion Picture Soundtrack),Vishal-Shekhar,2010-05-25,330360,55,0.585,0.42,0.585,0.698,3.59e-06,0.363,-6.261,0.0392,139.83100000000002,4,Throwback,Hindi,2010
170,70,I Hate Luv Storys,I Hate Luv Storys (Original Motion Picture Soundtrack),Vishal-Shekhar,2010-05-25,285213,47,0.747,0.0688,0.747,0.81,0.0405,0.0592,-8.352,0.0541,130.012,4,Throwback,Hindi,2010
