,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
62,I Say a Little Prayer,The Queen Of Soul,Aretha Franklin,2014-02-03,212106,46,0.601,0.51,0.601,0.419,0.000732,0.141,-10.59,0.0325,133.205,4,romantic,English,2014
63,Angels - 2004 Mix,In And Out Of Consciousness: Greatest Hits 1990 - 2010,Robbie Williams,2010-01-01,267413,57,0.393,0.142,0.393,0.601,1.88e-05,0.13,-6.075,0.0298,150.039,4,romantic,English,2010
64,I Got You Babe,The Beat Goes On: Best Of,Sonny & Cher,1991-11-05,193840,59,0.621,0.246,0.621,0.708,2e-06,0.143,-9.057,0.0259,110.533,3,romantic,English,1991
65,With Or Without You,The Best of 1980-1990 & B-Sides,U2,1998-10-01,295200,0,0.546,0.000128,0.546,0.485,0.318,0.0939,-9.424,0.027,109.913,4,romantic,English,1998
66,L-O-V-E - Remastered,The Unforgettable Nat King Cole (Remastered),Nat King Cole,2000-01-01,153466,0,0.574,0.694,0.574,0.187,0.0,0.0792,-14.762,0.0738,77.859,4,romantic,English,2000
67,The Way You Look Tonight,"Sings The American Songbook, Vol. 1",Tony Bennett,2007-09-25,203293,0,0.363,0.949,0.363,0.0882,0.000303,0.112,-18.991,0.0375,88.162,4,romantic,English,2007
68,"Can You Feel the Love Tonight - End Title/ From ""The Lion King""/Soundtrack Version",The Lion King,Various Artists,1994-01-01,241013,67,0.309,0.87,0.309,0.181,0.000279,0.118,-17.022,0.0337,124.711,4,romantic,English,1994
69,I'm Yours,We Sing. We Dance. We Steal Things.,Jason Mraz,2008-05-12,242186,83,0.686,0.595,0.686,0.457,0.0,0.105,-8.322,0.0468,150.953,4,romantic,English,2008
70,Dream A Little Dream Of Me,Creeque Alley - The History Of The Mamas And The Papas,The Mamas & The Papas,1991-01-01,193333,0,0.451,0.817,0.451,0.24,3.87e-06,0.0569,-16.617,0.0553,132.822,1,romantic,English,1991
71,I'll Make Love To You,The Best Of Boyz II Men 20th Century Masters The Millennium Collection,Boyz II Men,2003-10-07,235853,36,0.56,0.0927,0.56,0.494,0.0,0.0895,-7.95,0.0244,142.509,3,romantic,English,2003
72,The Way You Look Tonight,Michael Bublé,Michael Bublé,2003-01-01,279626,63,0.642,0.549,0.642,0.483,0.000282,0.251,-10.486,0.028,109.995,4,romantic,English,2003
73,Hello,True Mellow 3 CD Set,Various Artists,2006-01-01,248733,0,0.547,0.743,0.547,0.272,1.61e-06,0.235,-12.995,0.0355,62.092,4,romantic,English,2006
74,Somewhere Only We Know,Somewhere Only We Know,Lily Allen,2013-11-10,208154,62,0.314,0.935,0.314,0.286,0.0258,0.0999,-10.191,0.035,172.021,4,romantic,English,2013
75,The Scientist,A Rush of Blood to the Head,Coldplay,2002-08-08,309600,84,0.56,0.727,0.56,0.442,1.71e-05,0.11,-7.224,0.0243,146.448,4,romantic,English,2002
76,Marry You,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,230120,73,0.62,0.332,0.62,0.832,0.0,0.104,-4.848,0.036,144.926,4,romantic,English,2010
77,Lucky,We Sing. We Dance. We Steal Things.,Jason Mraz,2008-05-12,191360,76,0.623,0.296,0.623,0.417,0.0,0.135,-8.699,0.0354,130.032,4,romantic,English,2008
78,Wind Beneath My Wings,Rhino Hi-Five: Bette Midler,Bette Midler,2005-10-18,293853,0,0.51,0.551,0.51,0.458,0.0,0.0853,-7.566,0.0289,123.694,4,romantic,English,2005
79,You're Beautiful,Back to Bedlam,James Blunt,2005-10-04,209493,66,0.675,0.633,0.675,0.479,1.76e-05,0.088,-9.87,0.0278,81.998,4,romantic,English,2005
80,Isn't She Lovely,Songs In The Key Of Life (Reissue),Stevie Wonder,1976-09-28,394266,0,0.481,0.182,0.481,0.826,0.00352,0.324,-6.974,0.0851,118.679,4,romantic,English,1976
81,Mirrors,The 20/20 Experience (Deluxe Version),Justin Timberlake,2013-03-15,484146,77,0.574,0.234,0.574,0.512,0.0,0.0946,-6.664,0.0503,76.899,4,romantic,English,2013
82,"Accidentally In Love - From ""Shrek 2"" Soundtrack",Films About Ghosts: The Best Of...,Counting Crows,2003-01-01,188386,54,0.555,0.0484,0.555,0.926,7.67e-06,0.171,-3.613,0.0363,138.017,4,romantic,English,2003
83,Wouldn't It Be Nice - Remastered,The Beach Boys Love Songs,The Beach Boys,2006-01-01,145106,68,0.429,0.536,0.429,0.543,2.54e-05,0.125,-9.139,0.0347,122.619,4,romantic,English,2006
84,"My Heart Will Go On - Love Theme from ""Titanic""",Let's Talk About Love,Céline Dion,1997-10-24,280000,9,0.428,0.732,0.428,0.276,5.33e-06,0.117,-11.729,0.0312,99.195,1,romantic,English,1997
85,Fast Car,Tracy Chapman,Tracy Chapman,1988-04-05,296800,79,0.711,0.313,0.711,0.292,0.0,0.131,-15.523,0.037,103.951,4,romantic,English,1988
86,Dream A Little Dream Of Me,Ella & Friends,Ella Fitzgerald,1996-01-01,187693,1,0.549,0.918,0.549,0.169,0.0,0.159,-13.433,0.0779,79.318,4,romantic,English,1996
87,Secret Love Song (feat. Jason Derulo),Get Weird (Deluxe),Little Mix,2015-11-06,249813,77,0.534,0.259,0.534,0.642,0.0,0.29,-3.971,0.0504,92.963,4,romantic,English,2015
88,No One,As I Am,Alicia Keys,2007-11-09,253813,3,0.649,0.03,0.649,0.552,6.47e-06,0.111,-5.419,0.0292,89.969,4,romantic,English,2007
89,Stay,Unapologetic (Deluxe),Rihanna,2012-12-11,240706,75,0.621,0.945,0.621,0.31,6.12e-05,0.117,-10.164,0.0283,111.893,4,romantic,English,2012
90,Fly Me To The Moon - Remastered,Nothing But The Best (Remastered),Frank Sinatra,2008-01-01,147520,57,0.591,0.549,0.591,0.298,2.22e-06,0.0797,-12.269,0.06,119.954,4,romantic,English,2008
91,Feeling Good,It's Time,Michael Bublé,2005-02-08,237333,71,0.535,0.533,0.535,0.548,1.48e-06,0.123,-6.51,0.037,115.144,3,romantic,English,2005
92,We Don't Have To Take Our Clothes Off,Feline (Deluxe),Ella Eyre,2015-08-14,236293,0,0.565,0.956,0.565,0.176,5.47e-06,0.108,-9.254,0.0419,97.931,3,romantic,English,2015
93,Bubbly,Coco,Colbie Caillat,2007-01-01,196226,73,0.688,0.594,0.688,0.477,0.0,0.115,-6.684,0.036,127.866,4,romantic,English,2007
94,All You Need Is Love - Remastered 2015,1 (Remastered),The Beatles,2000-11-13,227760,0,0.397,0.437,0.397,0.625,5.47e-06,0.263,-5.829,0.0347,104.54,4,romantic,English,2000
95,"I Wanna Be Loved by You (From ""Some Like It Hot"")",Sus Años Dorados en España,Marilyn Monroe,2014-01-01,177388,0,0.475,0.707,0.475,0.468,0.000195,0.0739,-5.766,0.0373,126.737,4,romantic,English,2014
96,Can't Help Falling in Love,Better,Haley Reinhart,2016-04-29,173174,0,0.41,0.947,0.41,0.0485,0.0,0.108,-13.918,0.038,137.97,4,romantic,English,2016
97,I Wanna Dance with Somebody (Who Loves Me),Whitney,Whitney Houston,1987-06-02,291293,82,0.709,0.207,0.709,0.824,0.000307,0.0888,-8.824,0.0453,118.814,4,romantic,English,1987
98,I Will Always Love You,The Bodyguard - Original Soundtrack Album,Whitney Houston,1992-11-17,271093,77,0.306,0.844,0.306,0.214,5.3e-06,0.0839,-12.518,0.0356,66.98,4,romantic,English,1992
99,I Have Nothing,The Bodyguard - Original Soundtrack Album,Whitney Houston,1992-11-17,289160,74,0.54,0.576,0.54,0.401,0.0,0.164,-10.499,0.0364,152.974,3,romantic,English,1992
0,Mehrama - Extended,Love Aaj Kal (Original Motion Picture Soundtrack),Pritam,2020-02-14,337749,53,0.55,0.862,0.55,0.632,0.00712,0.0931,-8.462,0.031,107.919,4,romantic,Hindi,2020
1,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Malang (Title Track) [From ""Malang - Unleash The Madness""]",Ved Sharma,2020-01-16,287374,71,0.384,0.329,0.384,0.728,1.85e-05,0.329,-6.503,0.0623,156.396,4,romantic,Hindi,2020
2,Makhna,"Makhna (From ""Drive"")",Tanishk Bagchi,2019-10-03,183000,71,0.696,0.167,0.696,0.704,0.0,0.155,-7.876,0.0423,124.972,4,romantic,Hindi,2019
3,Shayad - Reprise,Love Aaj Kal (Original Motion Picture Soundtrack),Pritam,2020-02-14,245735,58,0.432,0.904,0.432,0.536,0.000626,0.102,-7.34,0.032,135.837,4,romantic,Hindi,2020
4,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",Rochak Kohli,2019-12-02,200991,69,0.718,0.585,0.718,0.382,0.0,0.128,-8.237,0.0466,87.029,4,romantic,Hindi,2019
5,Khairiyat,Chhichhore,Pritam,2019-08-31,280281,73,0.524,0.696,0.524,0.48,0.0,0.142,-9.017,0.0426,124.879,4,romantic,Hindi,2019
6,"Kinna Sona (From ""Marjaavaan"")","Kinna Sona (From ""Marjaavaan"")",Meet Bros.,2019-11-06,273925,60,0.533,0.283,0.533,0.723,0.0,0.0678,-4.301,0.0614,97.848,4,romantic,Hindi,2019
7,Ik Mulaqaat,Dream Girl,Meet Bros.,2019-09-06,247812,62,0.634,0.361,0.634,0.648,0.0,0.619,-6.781,0.0412,95.989,4,romantic,Hindi,2019
8,Bhula Diya,Bhula Diya - Single,Darshan Raval,2019-02-07,217941,23,0.331,0.556,0.331,0.465,0.0,0.356,-5.954,0.0397,136.193,4,romantic,Hindi,2019
9,Humnava Mere,Humnava Mere,Jubin Nautiyal,2018-05-23,328992,59,0.401,0.47,0.401,0.553,2.96e-06,0.124,-8.263,0.0337,79.144,4,romantic,Hindi,2018
10,Yeh Dooriyan,Love Aaj Kal (Original Motion Picture Soundtrack),Pritam,2020-02-14,241636,60,0.615,0.695,0.615,0.568,0.054,0.0964,-7.839,0.0304,109.987,4,romantic,Hindi,2020
11,Pal Pal Dil Ke Paas- Title Track,"Pal Pal Dil Ke Paas- Title Track (From ""Pal Pal Dil Ke Paas"")",Arijit Singh,2019-08-27,254516,67,0.56,0.592,0.56,0.512,0.0,0.056,-7.185,0.0333,123.991,4,romantic,Hindi,2019
12,Tujhe Kitna Chahein Aur (Film Version),Kabir Singh,Various Artists,2019-06-14,276244,63,0.36,0.603,0.36,0.25,0.0,0.0915,-9.506,0.0341,145.045,4,romantic,Hindi,2019
13,Ik Vaari Aa (Jubin Version),Raabta,Various Artists,2017-06-03,274475,49,0.511,0.234,0.511,0.829,0.0,0.338,-5.661,0.0386,127.893,4,romantic,Hindi,2017
14,Duniyaa,Luka Chuppi,Various Artists,2019-02-22,222500,52,0.435,0.699,0.435,0.658,0.0,0.125,-5.949,0.0368,77.17,4,romantic,Hindi,2019
15,Enna Sona,OK Jaanu (Original Motion Picture Soundtrack),A.R. Rahman,2017-01-04,213632,63,0.717,0.635,0.717,0.416,1.43e-06,0.0976,-9.875,0.0303,100.026,4,romantic,Hindi,2017
16,Ve Maahi,Kesari,Various Artists,2019-03-18,223999,66,0.65,0.405,0.65,0.551,0.0,0.219,-6.906,0.0274,102.934,4,romantic,Hindi,2019
17,Bolna,Kapoor & Sons (Since 1921) (Original Motion Picture Soundtrack),Various Artists,2016-03-04,212832,49,0.488,0.598,0.488,0.403,4.26e-06,0.434,-7.004,0.0272,131.496,3,romantic,Hindi,2016
18,"Tera Ban Jaunga Reprise (From ""T-Series Acoustics"")","Tera Ban Jaunga Reprise (From ""T-Series Acoustics"")",Akhil Sachdeva,2019-08-26,223555,48,0.51,0.786,0.51,0.479,0.0014,0.159,-7.52,0.0257,93.992,4,romantic,Hindi,2019
19,Nazm Nazm,Bareilly Ki Barfi,Various Artists,2017-08-17,226941,61,0.62,0.497,0.62,0.627,0.0,0.133,-6.187,0.0307,82.008,4,romantic,Hindi,2017
20,Humsafar,Badrinath Ki Dulhania,Various Artists,2017-02-14,268463,59,0.319,0.719,0.319,0.552,0.0,0.144,-6.401,0.0307,93.991,4,romantic,Hindi,2017
21,"Samjhawan (Unplugged by Alia Bhatt) [From ""Humpty Sharma Ki Dulhania""]","Samjhawan (Unplugged by Alia Bhatt) [From ""Humpty Sharma Ki Dulhania""]",Jawad Ahmad,2014-06-19,215611,53,0.643,0.729,0.643,0.256,1.02e-06,0.0994,-9.758,0.0252,94.999,4,romantic,Hindi,2014
22,Aaya Na Tu,Aaya Na Tu,Arjun Kanungo,2018-06-20,210000,60,0.665,0.825,0.665,0.539,5.85e-06,0.121,-7.213,0.0474,110.101,4,romantic,Hindi,2018
23,Teri Mitti - Female Version (Kesari),Teri Mitti - Female Version (Kesari),Arko,2019-04-15,217000,57,0.584,0.945,0.584,0.188,0.0,0.0871,-10.067,0.0314,144.068,4,romantic,Hindi,2019
24,Galliyan (Unplugged),Ek Villain,Various Artists,2014-05-28,254750,49,0.378,0.899,0.378,0.393,0.0,0.102,-7.495,0.0275,169.936,4,romantic,Hindi,2014
25,Yahin Hoon Main,Yahin Hoon Main,Ayushmann Khurrana,2015-12-11,238120,46,0.633,0.0839,0.633,0.558,1.1e-06,0.0982,-6.572,0.0275,110.012,4,romantic,Hindi,2015
26,"Chale Aana (From ""De De Pyaar De"")","Chale Aana (From ""De De Pyaar De"")",Amaal Mallik,2019-05-02,271023,61,0.368,0.309,0.368,0.587,0.0,0.149,-6.676,0.0378,143.687,4,romantic,Hindi,2019
27,Ishq Di Baajiyaan,Soorma (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2018-07-03,287134,48,0.722,0.0233,0.722,0.609,0.000247,0.113,-7.218,0.0473,154.967,4,romantic,Hindi,2018
28,Banjaara,Ek Villain,Various Artists,2014-05-28,336567,53,0.657,0.713,0.657,0.489,0.0,0.124,-6.829,0.0306,116.0,4,romantic,Hindi,2014
29,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,2019-05-31,284779,68,0.427,0.736,0.427,0.396,0.0,0.11,-7.556,0.0366,70.368,4,romantic,Hindi,2019
30,Naino Ne Baandhi,Gold,Arko,2018-08-20,241894,52,0.294,0.548,0.294,0.705,0.0,0.113,-7.302,0.0488,81.463,4,romantic,Hindi,2018
31,Soch Na Sake,Airlift,Amaal Mallik,2015-12-17,281322,62,0.505,0.597,0.505,0.667,0.0,0.213,-5.797,0.0323,151.728,4,romantic,Hindi,2015
32,Sab Tera Unplugged,Amaal Mallik &amp; Armaan Malik - Mtv Unplugged Season 7,Amaal Mallik,2018-02-23,282871,41,0.624,0.244,0.624,0.439,0.0,0.785,-11.537,0.0468,80.065,4,romantic,Hindi,2018
33,Yaad Hai,Aiyaary,Rochak Kohli,2018-02-28,320142,43,0.403,0.93,0.403,0.311,5.37e-05,0.0961,-9.797,0.0299,139.485,3,romantic,Hindi,2018
