,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
78,Addison Rae,Addison Rae,The Kid LAROI,2020-03-22,163573,79,0.901,0.0155,0.901,0.49,0.0,0.109,-9.099,0.129,135.015,4,Hip-Hop,English,2020
79,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,JACKBOYS,JACKBOYS,2019-12-27,244873,77,0.559,0.0567,0.559,0.491,0.0,0.0992,-6.406,0.0346,153.131,4,Hip-Hop,English,2019
80,Still Be Friends (feat. Tory Lanez & Tyga),Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy,2020-02-07,213307,81,0.803,0.00509,0.803,0.759,0.0,0.0921,-4.692,0.0494,104.0,4,Hip-Hop,English,2020
81,FREAK,FREAK,Tyga,2020-03-13,174066,72,0.933,0.00438,0.933,0.556,0.0,0.114,-6.115,0.216,106.01,4,Hip-Hop,English,2020
82,Barbarian (feat. Lil Tjay),Barbarian (feat. Lil Tjay),Calboy,2020-02-13,243280,60,0.667,0.135,0.667,0.648,0.0,0.108,-7.838,0.152,149.927,4,Hip-Hop,English,2020
83,Ayy Macarena,Ayy Macarena,Tyga,2019-11-13,131606,81,0.816,0.133,0.816,0.63,0.0,0.0692,-5.568,0.226,96.493,4,Hip-Hop,English,2019
84,Woah,Woah,Lil Baby,2019-11-08,183011,76,0.882,0.0177,0.882,0.602,0.0,0.178,-5.554,0.245,142.959,4,Hip-Hop,English,2019
85,Lalala,Lalala,Y2K,2019-06-28,160626,85,0.843,0.181,0.843,0.391,0.0,0.137,-7.899,0.0845,129.972,4,Hip-Hop,English,2019
86,Falling,Falling,Trevor Daniel,2018-10-05,159381,89,0.785,0.123,0.785,0.431,0.0,0.0887,-8.756,0.0364,127.085,4,Hip-Hop,English,2018
87,Old Town Road - Remix,7 EP,Lil Nas X,2019-06-21,157066,85,0.878,0.0533,0.878,0.619,0.0,0.113,-5.56,0.102,136.041,4,Hip-Hop,English,2019
88,Go In,Go In,Lil Tjay,2019-12-13,254962,66,0.799,0.125,0.799,0.698,0.0,0.0778,-5.947,0.169,121.998,4,Hip-Hop,English,2019
89,Juicy,Juicy,Doja Cat,2019-08-15,202333,67,0.786,0.0856,0.786,0.658,0.0,0.0689,-2.61,0.0661,170.037,4,Hip-Hop,English,2019
90,ROXANNE,ROXANNE,Arizona Zervas,2019-10-10,163636,89,0.621,0.0522,0.621,0.601,0.0,0.46,-5.616,0.148,116.735,5,Hip-Hop,English,2019
